id,path,source_folder,text_len_chars,text_len_tokens,npy_path,embedding_dim,embedding_dtype
651e4932d392f1f6bd520db6_20220102.json,/content/drive/MyDrive/TL_서울_기타/651e4932d392f1f6bd520db6_20220102.json,TL_서울_기타,285,111,/content/output/smalldata/TL_서울_기타/651e4932d392f1f6bd520db6_20220102.npy,768,float32
651e4932d392f1f6bd520db9_20220102.json,/content/drive/MyDrive/TL_서울_기타/651e4932d392f1f6bd520db9_20220102.json,TL_서울_기타,457,128,/content/output/smalldata/TL_서울_기타/651e4932d392f1f6bd520db9_20220102.npy,768,float32
651e4932d392f1f6bd520e7d_20220102.json,/content/drive/MyDrive/TL_서울_기타/651e4932d392f1f6bd520e7d_20220102.json,TL_서울_기타,342,128,/content/output/smalldata/TL_서울_기타/651e4932d392f1f6bd520e7d_20220102.npy,768,float32
651e4932d392f1f6bd52111c_20220102.json,/content/drive/MyDrive/TL_서울_기타/651e4932d392f1f6bd52111c_20220102.json,TL_서울_기타,295,109,/content/output/smalldata/TL_서울_기타/651e4932d392f1f6bd52111c_20220102.npy,768,float32
651e494aaf1b6ab3ae0e5513_20220105.json,/content/drive/MyDrive/TL_서울_기타/651e494aaf1b6ab3ae0e5513_20220105.json,TL_서울_기타,888,128,/content/output/smalldata/TL_서울_기타/651e494aaf1b6ab3ae0e5513_20220105.npy,768,float32
651e494aaf1b6ab3ae0e5570_20220105.json,/content/drive/MyDrive/TL_서울_기타/651e494aaf1b6ab3ae0e5570_20220105.json,TL_서울_기타,659,128,/content/output/smalldata/TL_서울_기타/651e494aaf1b6ab3ae0e5570_20220105.npy,768,float32
651e494aaf1b6ab3ae0e55c2_20220105.json,/content/drive/MyDrive/TL_서울_기타/651e494aaf1b6ab3ae0e55c2_20220105.json,TL_서울_기타,240,88,/content/output/smalldata/TL_서울_기타/651e494aaf1b6ab3ae0e55c2_20220105.npy,768,float32
651e494aaf1b6ab3ae0e5669_20220105.json,/content/drive/MyDrive/TL_서울_기타/651e494aaf1b6ab3ae0e5669_20220105.json,TL_서울_기타,148,59,/content/output/smalldata/TL_서울_기타/651e494aaf1b6ab3ae0e5669_20220105.npy,768,float32
651e496f5d60e22224166e5e_20220106.json,/content/drive/MyDrive/TL_서울_기타/651e496f5d60e22224166e5e_20220106.json,TL_서울_기타,234,81,/content/output/smalldata/TL_서울_기타/651e496f5d60e22224166e5e_20220106.npy,768,float32
651e498789e4964417c980a9_20220107.json,/content/drive/MyDrive/TL_서울_기타/651e498789e4964417c980a9_20220107.json,TL_서울_기타,949,128,/content/output/smalldata/TL_서울_기타/651e498789e4964417c980a9_20220107.npy,768,float32
651e498789e4964417c98148_20220107.json,/content/drive/MyDrive/TL_서울_기타/651e498789e4964417c98148_20220107.json,TL_서울_기타,250,109,/content/output/smalldata/TL_서울_기타/651e498789e4964417c98148_20220107.npy,768,float32
651e498789e4964417c981f4_20220107.json,/content/drive/MyDrive/TL_서울_기타/651e498789e4964417c981f4_20220107.json,TL_서울_기타,524,128,/content/output/smalldata/TL_서울_기타/651e498789e4964417c981f4_20220107.npy,768,float32
651e49aac10cdef4499a9508_20220203.json,/content/drive/MyDrive/TL_서울_기타/651e49aac10cdef4499a9508_20220203.json,TL_서울_기타,247,99,/content/output/smalldata/TL_서울_기타/651e49aac10cdef4499a9508_20220203.npy,768,float32
